NAME,ETHNICITY,NATIONALITY,GENDER,DATE_OF_BIRTH,SOCIAL_IMPACT,WEALTH,IMG_FILE,DESCRIPTION,TAGS
Patrick Magee,W,,,,,,,,
Maynard James Keenan,W,,,,,,,,
Cmdr. Chris Hadfield,W,,,,,,,,
Justin Foster,W,,,,,,,,
Ana Kasparian,M,,,,,,,,
Jeremy Stephens,W,,,,,,,,
Lorenzo Hagerty,W,,,,,,,,
Gene LeBell,W,,,,,,,,
Brody Stevens,J,,,,,,,,
Phil Demers,W,,,,,,,,
Lee Camp,J,,,,,,,,
Roseanne Barr,J,,,,,,,,
Dr. Mark Gordon,J,,,,,,,,
Remi Warren,W,,,,,,,,
Dan Doty,W,,,,,,,,
John Hackleman,W,,,,,,,,
Peter Schiff,J,,,,,,,,
Andreas Antonopoulos,W,,,,,,,,
Justin Martindale,W,,,,,,,,
Cameron Hanes,W,,,,,,,,
Chino XL,X,,,,,,,,
Molly Crabapple,J,,,,,,,,
Campbell McLaren,W,,,,,,,,
Dr. Rhonda Patrick,W,,,,,,,,
Kron Gracie,X,,,,,,,,
Robert Greene,J,,,,,,,,
Peter Giuliano,W,,,,,,,,
Dr. Carl Hart,B,,,,,,,,
Matt Serra,W,,,,,,,,
Hannibal Buress,B,,,,,,,,
Joshua Wickerham,W,,,,,,,,
Joel Salatin,W,,,,,,,,
DJ Douggpound,W,,,,,,,,
Rob MacCachren,W,,,,,,,,
Bud Brutsman,W,,,,,,,,
Mark Kendall,W,,,,,,,,
Alexis Ohanian,X,,,,,,,,
Brendan Schaub,W,,,,,,,,
Liam,W,,,,,,,,
Dylan Resnekov,W,,,,,,,,
Steve Maxwell,W,,,,,,,,
Ian Edwards,B,,,,,,,,
Nick Cutter,W,,,,,,,,
Tim Kennedy,W,,,,,,,,
Cenk Uyger,M,,,,,,,,
Randall Carlson,W,,,,,,,,
Alex Ross,W,,,,,,,,
TJ Dillashaw,W,,,,,,,,
Steve Hilton,W,,,,,,,,
Duke Roufus,W,,,,,,,,
"Lewis, from Unbox Therapy",W,,,,,,,,
"Crash, from Float Lab",W,,,,,,,,
Gad Saad,J,,,,,,,,
CJ Werleman,W,,,,,,,,
