NAME,ETHNICITY,NATIONALITY,GENDER,DATE_OF_BIRTH,SOCIAL_IMPACT,WEALTH,IMG_FILE,DESCRIPTION,TAGS
John Mackey,W,,,,,,,,
Willie D,B,,,,,,,,
Mike Judge,W,,,,,,,,
Emily Harrington,W,,,,,,,,
Moxie Marlinspike,W,,,,,,,,
Matthew Yglesias,J,,,,,,,,
Jacques Vallee,W,,,,,,,,
James Fox,W,,,,,,,,
Terry Virts,W,,,,,,,,
J. Prince,B,,,,,,,,
John Terzian,W,,,,,,,,
Craig Susser,J,,,,,,,,
Todd White,W,,,,,,,,
Michael Kosta,W,,,,,,,,
Lawrence Wright,W,,,,,,,,
Jordan Burroughs,B,,,,,,,,
Yannis Pappas,W,,,,,,,,
Ira Glasser,J,,,,,,,,
Avi Loeb,J,,,,,,,,
Travis Walton,W,,,,,,,,
Mark “The Undertaker” Calaway,W,,,,,,,,
Mark Smith,B,,,,,,,,
Ali Siddiq,B,,,,,,,,
Freddie Gibbs,B,,,,,,,,
Robert Bigelow,W,,,,,,,,
Ayaan Hirsi Ali,B,,,,,,,,
Tiller Russel,W,,,,,,,,
Mat Fraser,W,,,,,,,,
Claressa Shields,B,,,,,,,,
Nate Bargatze,W,,,,,,,,
Marcus Luttrell,W,,,,,,,,
Demi Lovato,W,,,,,,,,
Dan Gable,W,,,,,,,,
Lara Beitz,W,,,,,,,,
Katie Spotz,W,,,,,,,,
Dr. Shanna Swan,W,,,,,,,,
Josh Rogin,J,,,,,,,,
Matty Matheson,W,,,,,,,,
Jonathan Zimmerman,J,,,,,,,,
Ethan Suplee,W,,,,,,,,
Christopher Mellon,W,,,,,,,,
David Holthouse,W,,,,,,,,
Michael Easter,W,,,,,,,,
Andy Norman,W,,,,,,,,
Adam Duritz,J,,,,,,,,
Mayor Steve Adler,J,,,,,,,,
Edward Slingerland,W,,,,,,,,
Carole Hooven,W,,,,,,,,
Dr. Pierre Kory,J,,,,,,,,
Colin Wright,W,,,,,,,,
Clay Newcomb,W,,,,,,,,
Quentin Tarantino,W,,,,,,,,
Jesse Griffiths,W,,,,,,,,
Jakob Dylan,J,,,,,,,,
Brian Simpson,B,,,,,,,,
Jesse Singal,J,,,,,,,,
Shane Gillis,W,,,,,,,,
Yeonmi Park,A,,,,,,,,
Jason Wilson,B,,,,,,,,
Jordan E. Cooper,B,,,,,,,,
Neill Blomkamp,W,,,,,,,,
Megan Murphy,J,,,,,,,,
Laurie Woolever,W,,,,,,,,
C.K. Chin,A,,,,,,,,
Anna Lembke,W,,,,,,,,
Amanda Knox,W,,,,,,,,
Cullen Hoback,W,,,,,,,,
Patrick Bet-David,W,,,,,,,,
Robert Jones,B,,,,,,,,
Jessica Kirson,J,,,,,,,,
Dr. Sanjay Gupta,I,,,,,,,,
Michael Shellenberger,W,,,,,,,,
Bartow Elmore,W,,,,,,,,
Amishi Jha,M,,,,,,,,
Jewel,W,,,,,,,,
Gilbert Gottfried,J,,,,,,,,
Snoop Dogg,B,,,,,,,,
Daniel Schmachtenberger,J,,,,,,,,
Philip Goff,W,,,,,,,,
Jimmy Corsetti,W,,,,,,,,
Derek (more plates more dates),W,,,,,,,,
Blaire White,W,,,,,,,,
Dr. Peter A. McCullough,W,,,,,,,,
Beeple,W,,,,,,,,
Tony Woods,B,,,,,,,,
John Abramson,J,,,,,,,,
Dr. Robert malone,W,,,,,,,,
Carrot Top,W,,,,,,,,
General H.R. McMaster,W,,,,,,,,
Phillip Frankland Lee,W,,,,,,,,
Ben Patrick,W,,,,,,,,
Dr. Robert Epstein,J,,,,,,,,
Akaash Singh,I,,,,,,,,
Steven E. Koonin,J,,,,,,,,
Andrew Dessler,W,,,,,,,,
Coleman Hughes,B,,,,,,,,
Daniel Holzman,J,,,,,,,,
Ben Burgis,J,,,,,,,,
Diana Rodgers,W,,,,,,,,
Earthquake,B,,,,,,,,
Mr. Beast,W,,,,,,,,
Nims Purja,A,,,,,,,,
Sadhguru,I,,,,,,,,
Monty Franklin,W,,,,,,,,
Antonio Garcia Martinez,J,,,,,,,,
Gavin de Becker,J,,,,,,,,
David Mamet,J,,,,,,,,
Dan Soder,W,,,,,,,,
Radio Rahim,B,,,,,,,,
Chris Distefano,W,,,,,,,,
Kristin Beck,W,,,,,,,,
Michio Kaku,A,,,,,,,,
Bobby Azarian,W,,,,,,,,
Meghan Murphy,J,,,,,,,,
Colion Noir,B,,,,,,,,
Charlie Walker,W,,,,,,,,
Ryan Holiday,J,,,,,,,,
Gina Carano,W,,,,,,,,
Marc Andreessen,W,,,,,,,,
Paul Virzi,X,,,,,,,,
Zachary Levi,W,,,,,,,,
Francis Foster,J,,,,,,,,
Konstantin Kisin,J,,,,,,,,
Chris Williamson,W,,,,,,,,
Rick Strassman,J,,,,,,,,
Chris Best,W,,,,,,,,
Seth Dillon,W,,,,,,,,
John Dubin,W,,,,,,,,
Derrick Hamilton,B,,,,,,,,
Louis CK,W,,,,,,,,
Dave Mustaine,J,,,,,,,,
Mark Zuckerberg,J,,,,,,,,
Max Tegmark,J,,,,,,,,
Christof Koch,W,,,,,,,,
Yoshua Bengio,J,,,,,,,,
Vladimir Vapnik,J,,,,,,,,
Guido van Rossum,W,,,,,,,,
Jeff Atwood,W?,,,,,,,,
Eric Schmidt,W,,,,,,,,
Stuart Russell,W?,,,,,,,,
Pieter Abbeel,W,,,,,,,,
Juergen Schmidhuber,W?,,,,,,,,
Tuomas Sandholm,W?,,,,,,,,
Tomaso Poggio,W,,,,,,,,
Kyle Vogt,W,,,,,,,,
Leslie Kaelblind,W?,,,,,,,,
Greg Brockman,W?,,,,,,,,
Ian Goodfellow,W?,,,,,,,,
Oriol Vinyals,W?,,,,,,,,
Chris Lattner,W?,,,,,,,,
Rajat Monga,I,,,,,,,,
Gavin Miller,W?,,,,,,,,
Rosalind Picard,W?,,,,,,,,
Jeff Hawkins,W?,,,,,,,,
Kai-fu Lee,A,,,,,,,,
Chris Urmson,W,,,,,,,,
Gustav Soderstrom,W?,,,,,,,,
Kevin Scott,W?,,,,,,,,
George Hotz,W?,,,,,,,,
Paola Arlotta,W?,,,,,,,,
Keoki Jackson,W?,,,,,,,,
Pamela McCorduck,W?,,,,,,,,
Jeremy Howard,W?,,,,,,,,
Yann LeCun,W?,,,,,,,,
Vijay Kumar,I,,,,,,,,
Francois Chollet,W?,,,,,,,,
Colin Angle,W?,,,,,,,,
Regina Barzilay,J,,,,,,,,
Leonard Susskind,J,,,,,,,,
Peter Norvig,W?,,,,,,,,
Gary Marcus,J?,,,,,,,,
David Ferrucci,W?,,,,,,,,
Gary Kasparov,J,,,,,,,,
Bjarne Stroustrup,W,,,,,,,,
Michael Kearns,W?,,,,,,,,
Deva Newman,W?,,,,,,,,
Gilbert Strang,W?,,,,,,,,
Noam Chomsky,J,,,,,,,,
Ray Dalio,W,,,,,,,,
Judea Pearl,J,,,,,,,,
Rohit Prasad,I,,,,,,,,
Sebastian Thrun,W,,,,,,,,
Jim Gates,B,,,,,,,,
Melanie Mitchell,W?,,,,,,,,
Donald Knuth,W,,,,,,,,
Stephen Kotkin,W,,,,,,,,
Grant Sanderson,W,,,,,,,,
Daniel Kahneman,J,,,,,,,,
Ayanna Howard,B,,,,,,,,
Paul Krugman,J,,,,,,,,
Cristos Goodrow,W?,,,,,,,,
David Chalmers,W?,,,,,,,,
Jim Keller,W,,,,,,,,
Scott Aaronson,J,,,,,,,,
Andrew Ng,A,,,,,,,,
Michael I. Jordan,W?,,,,,,,,
Marcus Hutter,W?,,,,,,,,
John Hopfield,W?,,,,,,,,
Alex Garland,W,,,,,,,,
Ann Druyan,J,,,,,,,,
Lee Smolin,J,,,,,,,,
Vitalik Buterin,W,,,,,,,,
Anca Dragan,W?,,,,,,,,
Simon Sinek,J,,,,,,,,
Roger Penrose,W,,,,,,,,
David Silver,W?,,,,,,,,
Stephen Wolfram,J,,,,,,,,
Dmitry Korkin,W?,,,,,,,,
Harry Cliff,W?,,,,,,,,
Daphne Koller,J,,,,,,,,
Ilya Sutskever,W?,,,,,,,,
Dawn Song,A,,,,,,,,
Stephan Schwarzman,J,,,,,,,,
Sertac Karaman,M,,,,,,,,
Kate Darling,W?,,,,,,,,
Karl Friston,W?,,,,,,,,
Alexander Fridman,J,,,,,,,,
Joscha Bach,W,,,,,,,,
Ben Goertzel,J,,,,,,,,
David Patterson,W?,,,,,,,,
Robert Langer,J,,,,,,,,
Matt Botvinick,W?,,,,,,,,
Peter Singer,J,,,,,,,,
Sergey Levine,W?,,,,,,,,
Brian Kernighan,W,,,,,,,,
Jitendra Malik,I,,,,,,,,
Richard Karp,J,,,,,,,,
Ian Hutchinson,W,,,,,,,,
Manolis Kellis,W,,,,,,,,
Russ Tedrake,W?,,,,,,,,
Dileep George,I,,,,,,,,
Sara Seager,J,,,,,,,,
Sheldon Solomon,J,,,,,,,,
David Eagleman,J,,,,,,,,
Eugenia Kuyda,W?,,,,,,,,
David Fravor,W,,,,,,,,
Ryan Hall,W,,,,,,,,
James Gosling,W,,,,,,,,
Lisa Feldman Barrett,J,,,,,,,,
Charles Isbell,B,,,,,,,,
Alex Filippenko,W?,,,,,,,,
Yaron Brook,J,,,,,,,,
Erik Brynjolfsson,W,,,,,,,,
John Clarke,W?,,,,,,,,
Michael Littman,J,,,,,,,,
Matthew Johnson,W?,,,,,,,,
Michael Mina,W?,,,,,,,,
Dmitri Dolgov,W?,,,,,,,,
Diana Walsh Pasulka,J,,,,,,,,
Dan Kokotov,W?,,,,,,,,
Natalya Bailey,W?,,,,,,,,
Zev Weinstein,J,,,,,,,,
Richard Craib,W?,,,,,,,,
Brendan Eich,W,,,,,,,,
Jason Calacanis,W,,,,,,,,
Cal Newport,W?,,,,,,,,
Saagar Enjeti,I,,,,,,,,
Silvio Micali,W,,,,,,,,
Ronald Sullivan,B,,,,,,,,
Anthony Pompliano,W?,,,,,,,,
Ryan Schiller,W?,,,,,,,,
Nic Carter,W?,,,,,,,,
Tyler Cowen,W,,,,,,,,
Robert Breedlove,W,,,,,,,,
Risto Miikkulainen,W,,,,,,,,
Georges St-Pierre,W,,,,,,,,
Jeremi Suri,J,,,,,,,,
Sergey Nazarov,W?,,,,,,,,
John Danaher,W,,,,,,,,
Po-Shen Loh,A,,,,,,,,
Katherine de Kleer,W?,,,,,,,,
Bryan Johnson,W,,,,,,,,
Frank Wilczek,W,,,,,,,,
Jordan Ellenberg,J,,,,,,,,
Charles Hoskinson,W?,,,,,,,,
Rob Reid,W?,,,,,,,,
Clara Sousa-Silva,W?,,,,,,,,
Sara Walker,W?,,,,,,,,
Roger Reaves,W?,,,,,,,,
Konstantin Batygin,W?,,,,,,,,
Anya Fernald,W,,,,,,,,
Cumrun Vafa,M,,,,,,,,
Ishan Misra,I,,,,,,,,
Chris Duffin,W,,,,,,,,
Luis Batalha,W?,,,,,,,,
Joao Batalha,W?,,,,,,,,
Matt Walker,W,,,,,,,,
Barry Barish,J,,,,,,,,
Jed Buchwald,J?,,,,,,,,
Wojciech Zaremba,W,,,,,,,,
Vincent Racaniello,W,,,,,,,,
Rodney Brooks,W?,,,,,,,,
Jaron Lanier,J,,,,,,,,
Niels Jorgensen,W,,,,,,,,
Douglas Lenat,J,,,,,,,,
Jay McClelland,W?,,,,,,,,
Travis Stephens,W,,,,,,,,
Travis Oliphant,W?,,,,,,,,
Jeffrey Shainline,W?,,,,,,,,
Jo Boaler,W?,,,,,,,,
Sean Kelley,W?,,,,,,,,
"Robert Diggs ""RZA""",B,,,,,,,,
Richard Wrangham,W?,,,,,,,,
Kelsi Sheren,W,,,,,,,,
Alex Gladstein,W?,,,,,,,,
Carl Hart,B,,,,,,,,
Jimmy Pedro,W,,,,,,,,
Steve Viscelli,W,,,,,,,,
Francis Collins,W,,,,,,,,
Niall Ferguson,W?,,,,,,,,
Neal Stephenson,W?,,,,,,,,
Boris Sofman,W?,,,,,,,,
Ben Askren,W,,,,,,,,
Kevin Systrom,W?,,,,,,,,
Robert Crews,W?,,,,,,,,
Tom Brands,W,,,,,,,,
Peter Woit,W?,,,,,,,,
Norman Naimark,J,,,,,,,,
Albert Bourla,J,,,,,,,,
Peter Wang,A,,,,,,,,
Jay Bhattacharya,I,,,,,,,,
Yorom Hazony,J,,,,,,,,
Brain Keating,J,,,,,,,,
Thomas Tull,J?,,,,,,,,
Gordon Ryan,W,,,,,,,,
Phillip Goff,W,,,,,,,,
Garry Nolan,W?,,,,,,,,
Tim Urban,J,,,,,,,,
Devon Larratt,W,,,,,,,,
Nicole Perlroth,J,,,,,,,,
Robert Proctor,W?,,,,,,,,
Lee Cronin,W?,,,,,,,,
David Wolpe,J,,,,,,,,
Ariel Ekblaw,W?,,,,,,,,
Brett Johnson,W?,,,,,,,,
Chris Blattman,J?,,,,,,,,
Karl Deisseroth,W?,,,,,,,,
Rick Rubin,J,,,,,,,,
Michael Saylor,W,,,,,,,,
Skye Fitzgerald,W?,,,,,,,,
Cristiano Amon,W?,,,,,,,,
"Claire Boucher ""Grimes""",W,,,,,,,,
David Buss,W?,,,,,,,,
Chris Mason,W?,,,,,,,,
Saifedean Ammous,M?,,,,,,,,
Glenn Loury,B,,,,,,,,
Sarma Melngailis,W,,,,,,,,
Dan Reynolds,W,,,,,,,,
Robin Hanson,W?,,,,,,,,
Donald Hoffman,W?,,,,,,,,
Tony Fadell,W?,,,,,,,,
Richard Wolff,J,,,,,,,,
Jonathan Reisman,J,,,,,,,,
Susan Cain,J,,,,,,,,
Demis Hassabis,X,,,,,,,,
"Albrecht Dittrich ""Jack Barsky""",W,,,,,,,,
Richard Haier,W?,,,,,,,,
Steve Keen,W?,,,,,,,,
Robert Barron,W,,,,,,,,
Martin Rees,W,,,,,,,,
Brian Armstrong,W,,,,,,,,
Ryan Graves,W,,,,,,,,
Andrew Bustamante,X?,,,,,,,,
Magatte Wade,B,,,,,,,,
Liv Boeree,W?,,,,,,,,
Magnus Carlsen,W,,,,,,,,
John Vervaeke,W?,,,,,,,,
Nick Lane,W?,,,,,,,,
Andrea Botez,W,,,,,,,,
Alexandra Botez,W,,,,,,,,
Christopher Capozzola,W?,,,,,,,,
Ray Kurzweil,J,,,,,,,,
Rana el Kaliouby,M,,,,,,,,
Will Sasso,W,,,,,,,,
Daniel Negreanu,W,,,,,,,,
Michael Levin,J,,,,,,,,
Annaka Harris,J?,,,,,,,(maiden name Gorton),
"Levy Rozman ""GothamChess""",J,,,,,,,,
Hikaru Nakamura,X,,,,,,,,
Balaji Srinivasan,I,,,,,,,,
Ye West,B,,,,,,,,
Andrej Karpathy,W,,,,,,,,
Abbas Amanat,M?,,,,,,,,
Fiona Hill,W?,,,,,,,,
"Steven Bonnell ""Destiny""",W,,,,,,,,
Chamath Palihapitiya,I,,,,,,,,
Bjorn Lomborg,W,,,,,,,,
Andrew Revkin,J,,,,,,,,
Chris Tarbell,W?,,,,,,,,
Todd Howard,W?,,,,,,,,
Roger Gracie,H,,,,,,,,
Noam Brown,X?,,,,,,,,
"""Coffeezilla"" Stephen Findeisen",W?,,,,,,,,
